idx,caption,caption_en
67,거리를 달리고 있는 여성의 사진,A picture of a woman running on the street
68,생각에 잠겨있는 검은 머리의 여성 사진,A picture of a black hair that is immersed in thought
69,안경을 쓰고 생각하고 있는 정장의 여성 캐릭터,Women's character of a suit who wears glasses and thinks
70,길거리에서 발레공연을 하는 여성 사진,Women's photos on ballet performances on the street
71,잔디를 달려오고 있는 강아지 사진,Puppy photo running on the grass
72,잔디를 달리는 하얀 개 사진,White dog
73,푸른 잔디를 달리는 검고 하얀 개 사진,Black and white dog photos on blue grass
74,달리고 있는 갈색 점박이 개 캐릭터,Brown flushing dog character
75,달리고 있는 황토색 개 캐릭터,The ocher dog character running
76,거리를 달리고 있는 황토색 강아지 캐릭터,An ocher puppy character running on the street
77,밥먹고 있는 개 사진,Dog picture
78,밥먹고 있는 개 사진의 옆모습,The side of the dog's picture
79,고기를 먹고있는 개 사진,Dog picture eating meat
80,밥먹고 있는 개 캐릭터,Dog character who is eating
81,달리고 있는 주황색 고양이,Orange cat running
82,푸른 잔디에서 달리고 있는 검은 줄무늬의 고양이,Black striped cat running on blue grass
83,잔디에서 점프하고 있는 주황 고양이,Orange cat jumping on the grass
84,점프하는 주황색 고양이 캐릭터,Orange cat character to jump
85,점프하는 검은색 고양이 캐릭터,Black cat character to jump
86,달리고 있는 검은무늬의 고양이,A black pattern cat
87,달리고 있는 주황색 고양이,Orange cat running
88,잔디를 달리는 검은 고양이,Black cat
89,밥을 먹고있는 회색 고양이,Gray cat is eating
90,밥을 먹고있는 회색 고양이,Gray cat is eating
91,책을 보고있는 남성 게임 캐릭터,Men's game character looking at the book
92,서있고 하얀옷을 입은 남성 게임 캐릭터,Male game character in standing and white clothes
93,총을 들고 있는 검은 옷의 남성 게임 캐릭터,Black clothes male game character holding a gun
94,앉아 있는 금발의 여성 게임 캐릭터,Sitting blonde female game character
95,검을 들고 있는 검은 옷의 여성 게임 케릭터,Female game character of black clothes holding a sword
96,하얀 옷을 입고 잔디위에 서있는 여성 게임 캐릭터,A female game character standing on the grass wearing white clothes
97,검은 옷과 검을 등에 메고있는 금발의 여성 게임 캐릭터,Blonde female game characters carrying black clothes and swords
98,갓을 쓰고 하얀 옷을 입은 남성 게임 캐릭터,Men's game character wearing fresh and white clothes
99,갑옷을 입고있는 남성 게임 캐릭터,A male game character wearing armor
100,하얀색 바지를 입고 각각 검은 셔츠와 하얀 티를 입은 두명의 남성 게임 캐릭터,"Two male game characters wearing white pants and black shirts and white tea, respectively"
