idx,caption_en,image_path
24,A picture of a man wearing a shirt of white pants sitting on a staircase safe fence,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\24.jpg
25,A male character with a beard,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\25.jpg
26,Beard's fat male character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\26.jpg
27,Men's game character dressed in black,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\27.jpg
28,Male game character with beige beige beige,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\28.jpg
29,Male character in the upper body wearing a suit,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\29.jpg
30,The upper body male character with a tie on the shirt,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\30.jpg
31,A long hair woman taken in a photo against the background of street trees,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\31.jpg
32,A picture of a long black hair wearing a white shirt,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\32.jpg
33,Women's photographs exercising at the gym,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\33.jpg
34,A picture of a woman wearing a red skirt walking in the wind in the reed field,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\34.jpg
35,White hair female game character wearing tight clothes,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\35.jpg
36,Wearing hot pants and having red hair,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\36.jpg
37,A female character smiling with a green onion,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\37.jpg
38,A blonde female character wearing a shirt with arms folded,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\38.jpg
39,Female character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\39.jpg
40,Female emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\40.jpg
41,Red tea,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\41.jpg
42,Black car running from the front,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\42.jpg
43,Red car character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\43.jpg
44,The front of the ship moving to the water,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\44.jpg
45,Pear,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\45.jpg
46,Pear emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\46.jpg
47,Aircraft carriers sailing the sea,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\47.jpg
48,Red train passing through the railway,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\48.jpg
49,Train character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\49.jpg
50,White robot,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\50.jpg
51,Weary male character wearing glasses you are thinking about,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\51.jpg
52,Male character of orange clothes running,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\52.jpg
53,A man who runs in blue nashi,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\53.jpg
54,A picture of a man running in blue clothes,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\54.jpg
55,A picture of a male dancing wearing jeans,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\55.jpg
56,A photo of a male performing on the street,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\56.jpg
57,A male character dancing in a suit,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\57.jpg
58,A male character dancing,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\58.jpg
59,A good man who is exercising while undressing the upper body,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\59.jpg
60,A good man who sits on the bench and is exercising,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\60.jpg
61,A woman who is exercising with a pair,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\61.jpeg
62,A woman with a good body sitting and back,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\62.jpg
63,A female character who is exercising,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\63.jpg
64,Female character running,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\64.jpg
65,The front of the female character running,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\65.jpg
66,Photo of a woman running in blue,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\66.jpg
67,A picture of a woman running on the street,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\67.jpg
68,A picture of a black hair that is immersed in thought,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\68.jpg
69,Women's character of a suit who wears glasses and thinks,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\69.jpg
70,Women's photos on ballet performances on the street,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\70.jpg
71,Puppy photo running on the grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\71.jpg
72,White dog,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\72.jpg
73,Black and white dog photos on blue grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\73.jpg
74,Brown flushing dog character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\74.jpg
75,The ocher dog character running,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\75.jpg
76,An ocher puppy character running on the street,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\76.jpg
77,Dog picture,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\77.jpg
78,The side of the dog's picture,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\78.jpg
79,Dog picture eating meat,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\79.jpg
80,Dog character who is eating,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\80.jpg
81,Orange cat running,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\81.jpg
82,Black striped cat running on blue grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\82.jpg
83,Orange cat jumping on the grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\83.jpg
84,Orange cat character to jump,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\84.jpg
85,Black cat character to jump,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\85.jpg
86,A black pattern cat,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\86.jpg
87,Orange cat running,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\87.jpg
88,Black cat,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\88.jpg
89,Gray cat is eating,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\89.jpg
90,Gray cat is eating,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\90.jpg
91,Men's game character looking at the book,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\91.jpeg
92,Male game character in standing and white clothes,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\92.jpg
93,Black clothes male game character holding a gun,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\93.jpg
94,Sitting blonde female game character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\94.jpg
95,Female game character of black clothes holding a sword,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\95.jpg
96,A female game character standing on the grass wearing white clothes,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\96.jpg
97,Blonde female game characters carrying black clothes and swords,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\97.jpg
98,Men's game character wearing fresh and white clothes,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\98.jpg
99,A male game character wearing armor,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\99.jpg
100,"Two male game characters wearing white pants and black shirts and white tea, respectively",C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\100.jpg
1_aug_1,Dog photo sitting on a white background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\1_aug_1.jpg
1_aug_2,Dog photo sitting on a white background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\1_aug_2.jpg
1_aug_3,Dog photo sitting on a white background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\1_aug_3.jpg
1_aug_4,Dog photo sitting on a white background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\1_aug_4.jpg
1_aug_5,Dog photo sitting on a white background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\1_aug_5.jpg
1_aug_6,Dog photo sitting on a white background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\1_aug_6.jpg
1_aug_7,Dog photo sitting on a white background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\1_aug_7.jpg
1_aug_8,Dog photo sitting on a white background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\1_aug_8.jpg
1_aug_9,Dog photo sitting on a white background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\1_aug_9.jpg
1_aug_10,Dog photo sitting on a white background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\1_aug_10.jpg
2_aug_1,The picture of the dog's face looking at anywhere,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\2_aug_1.jpg
2_aug_2,The picture of the dog's face looking at anywhere,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\2_aug_2.jpg
2_aug_3,The picture of the dog's face looking at anywhere,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\2_aug_3.jpg
2_aug_4,The picture of the dog's face looking at anywhere,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\2_aug_4.jpg
2_aug_5,The picture of the dog's face looking at anywhere,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\2_aug_5.jpg
2_aug_6,The picture of the dog's face looking at anywhere,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\2_aug_6.jpg
2_aug_7,The picture of the dog's face looking at anywhere,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\2_aug_7.jpg
2_aug_8,The picture of the dog's face looking at anywhere,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\2_aug_8.jpg
2_aug_9,The picture of the dog's face looking at anywhere,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\2_aug_9.jpg
2_aug_10,The picture of the dog's face looking at anywhere,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\2_aug_10.jpg
3_aug_1,Dog photo sitting on blue grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\3_aug_1.jpg
3_aug_2,Dog photo sitting on blue grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\3_aug_2.jpg
3_aug_3,Dog photo sitting on blue grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\3_aug_3.jpg
3_aug_4,Dog photo sitting on blue grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\3_aug_4.jpg
3_aug_5,Dog photo sitting on blue grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\3_aug_5.jpg
3_aug_6,Dog photo sitting on blue grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\3_aug_6.jpg
3_aug_7,Dog photo sitting on blue grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\3_aug_7.jpg
3_aug_8,Dog photo sitting on blue grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\3_aug_8.jpg
3_aug_9,Dog photo sitting on blue grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\3_aug_9.jpg
3_aug_10,Dog photo sitting on blue grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\3_aug_10.jpg
4_aug_1,A black pattern standing dog character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\4_aug_1.jpg
4_aug_2,A black pattern standing dog character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\4_aug_2.jpg
4_aug_3,A black pattern standing dog character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\4_aug_3.jpg
4_aug_4,A black pattern standing dog character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\4_aug_4.jpg
4_aug_5,A black pattern standing dog character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\4_aug_5.jpg
4_aug_6,A black pattern standing dog character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\4_aug_6.jpg
4_aug_7,A black pattern standing dog character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\4_aug_7.jpg
4_aug_8,A black pattern standing dog character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\4_aug_8.jpg
4_aug_9,A black pattern standing dog character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\4_aug_9.jpg
4_aug_10,A black pattern standing dog character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\4_aug_10.jpg
5_aug_1,Dog photo sitting on blue grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\5_aug_1.jpg
5_aug_2,Dog photo sitting on blue grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\5_aug_2.jpg
5_aug_3,Dog photo sitting on blue grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\5_aug_3.jpg
5_aug_4,Dog photo sitting on blue grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\5_aug_4.jpg
5_aug_5,Dog photo sitting on blue grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\5_aug_5.jpg
5_aug_6,Dog photo sitting on blue grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\5_aug_6.jpg
5_aug_7,Dog photo sitting on blue grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\5_aug_7.jpg
5_aug_8,Dog photo sitting on blue grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\5_aug_8.jpg
5_aug_9,Dog photo sitting on blue grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\5_aug_9.jpg
5_aug_10,Dog photo sitting on blue grass,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\5_aug_10.jpg
6_aug_1,A dog character with a brown pattern,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\6_aug_1.jpg
6_aug_2,A dog character with a brown pattern,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\6_aug_2.jpg
6_aug_3,A dog character with a brown pattern,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\6_aug_3.jpg
6_aug_4,A dog character with a brown pattern,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\6_aug_4.jpg
6_aug_5,A dog character with a brown pattern,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\6_aug_5.jpg
6_aug_6,A dog character with a brown pattern,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\6_aug_6.jpg
6_aug_7,A dog character with a brown pattern,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\6_aug_7.jpg
6_aug_8,A dog character with a brown pattern,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\6_aug_8.jpg
6_aug_9,A dog character with a brown pattern,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\6_aug_9.jpg
6_aug_10,A dog character with a brown pattern,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\6_aug_10.jpg
7_aug_1,A cartoon -style puppy sitting in a black and white background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\7_aug_1.jpg
7_aug_2,A cartoon -style puppy sitting in a black and white background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\7_aug_2.jpg
7_aug_3,A cartoon -style puppy sitting in a black and white background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\7_aug_3.jpg
7_aug_4,A cartoon -style puppy sitting in a black and white background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\7_aug_4.jpg
7_aug_5,A cartoon -style puppy sitting in a black and white background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\7_aug_5.jpg
7_aug_6,A cartoon -style puppy sitting in a black and white background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\7_aug_6.jpg
7_aug_7,A cartoon -style puppy sitting in a black and white background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\7_aug_7.jpg
7_aug_8,A cartoon -style puppy sitting in a black and white background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\7_aug_8.jpg
7_aug_9,A cartoon -style puppy sitting in a black and white background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\7_aug_9.jpg
7_aug_10,A cartoon -style puppy sitting in a black and white background,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\7_aug_10.jpg
8_aug_1,Brown dog character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\8_aug_1.jpg
8_aug_2,Brown dog character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\8_aug_2.jpg
8_aug_3,Brown dog character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\8_aug_3.jpg
8_aug_4,Brown dog character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\8_aug_4.jpg
8_aug_5,Brown dog character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\8_aug_5.jpg
8_aug_6,Brown dog character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\8_aug_6.jpg
8_aug_7,Brown dog character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\8_aug_7.jpg
8_aug_8,Brown dog character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\8_aug_8.jpg
8_aug_9,Brown dog character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\8_aug_9.jpg
8_aug_10,Brown dog character,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\8_aug_10.jpg
9_aug_1,Puppy face emoticon,C:\Users\cvcv6\PycharmProjects\CLIP_websearch\CLIP-web-search-app_v1.1\images_100\augmented_images\9_aug_1.jpg
